WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.weight', 'roberta.pooler.dense.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 0/3303 [00:02<?, ?it/s]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 1/3303 [00:02<2:27:15,  2.68s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 1/3303 [00:04<2:27:15,  2.68s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 2/3303 [00:05<2:20:31,  2.55s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 33.33 | Image-: 33.33:   0%|          | 2/3303 [00:07<2:20:31,  2.55s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 33.33 | Image-: 33.33:   0%|          | 3/3303 [00:07<2:13:49,  2.43s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 3/3303 [00:10<2:13:49,  2.43s/it]  
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 4/3303 [00:10<2:23:59,  2.62s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 60.0 | Image-: 60.0:   0%|          | 4/3303 [00:13<2:23:59,  2.62s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 60.0 | Image-: 60.0:   0%|          | 5/3303 [00:13<2:29:18,  2.72s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 5/3303 [00:15<2:29:18,  2.72s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 6/3303 [00:15<2:29:18,  2.72s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 57.14 | Image-: 57.14:   0%|          | 6/3303 [00:18<2:29:18,  2.72s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 57.14 | Image-: 57.14:   0%|          | 7/3303 [00:18<2:32:07,  2.77s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 62.5 | Image-: 62.5:   0%|          | 7/3303 [00:21<2:32:07,  2.77s/it]  
Text+: 0.0 | Text-: 0.0 | Image+: 62.5 | Image-: 62.5:   0%|          | 8/3303 [00:21<2:26:51,  2.67s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 62.22 | Image-: 62.22:   0%|          | 8/3303 [00:24<2:26:51,  2.67s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 62.22 | Image-: 62.22:   0%|          | 9/3303 [00:25<2:47:15,  3.05s/it]
Text+: 10.0 | Text-: 10.0 | Image+: 56.0 | Image-: 56.0:   0%|          | 9/3303 [00:28<2:47:15,  3.05s/it]
Text+: 10.0 | Text-: 10.0 | Image+: 56.0 | Image-: 56.0:   0%|          | 10/3303 [00:29<3:01:04,  3.30s/it]
Text+: 9.09 | Text-: 9.09 | Image+: 50.91 | Image-: 50.91:   0%|          | 10/3303 [00:32<3:01:04,  3.30s/it]
Text+: 9.09 | Text-: 9.09 | Image+: 50.91 | Image-: 50.91:   0%|          | 11/3303 [00:32<3:05:41,  3.38s/it]
Text+: 8.33 | Text-: 8.33 | Image+: 54.17 | Image-: 54.17:   0%|          | 11/3303 [00:35<3:05:41,  3.38s/it]
Text+: 8.33 | Text-: 8.33 | Image+: 54.17 | Image-: 54.17:   0%|          | 12/3303 [00:35<2:59:25,  3.27s/it]
Text+: 7.69 | Text-: 7.69 | Image+: 50.0 | Image-: 50.0:   0%|          | 12/3303 [00:37<2:59:25,  3.27s/it]  
Text+: 7.69 | Text-: 7.69 | Image+: 50.0 | Image-: 50.0:   0%|          | 13/3303 [00:38<2:48:18,  3.07s/it]
Text+: 7.14 | Text-: 7.14 | Image+: 53.57 | Image-: 53.57:   0%|          | 13/3303 [00:40<2:48:18,  3.07s/it]
Text+: 7.14 | Text-: 7.14 | Image+: 53.57 | Image-: 53.57:   0%|          | 14/3303 [00:41<2:43:44,  2.99s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 54.0 | Image-: 54.0:   0%|          | 14/3303 [00:43<2:43:44,  2.99s/it]  
Text+: 6.67 | Text-: 6.67 | Image+: 54.0 | Image-: 54.0:   0%|          | 15/3303 [00:43<2:38:46,  2.90s/it]
Text+: 6.25 | Text-: 6.25 | Image+: 56.88 | Image-: 56.88:   0%|          | 15/3303 [00:46<2:38:46,  2.90s/it]
Text+: 6.25 | Text-: 6.25 | Image+: 56.88 | Image-: 56.88:   0%|          | 16/3303 [00:46<2:36:34,  2.86s/it]
Text+: 5.88 | Text-: 5.88 | Image+: 59.41 | Image-: 59.41:   0%|          | 16/3303 [00:49<2:36:34,  2.86s/it]
Text+: 5.88 | Text-: 5.88 | Image+: 59.41 | Image-: 59.41:   1%|          | 17/3303 [00:49<2:36:09,  2.85s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 56.11 | Image-: 56.11:   1%|          | 17/3303 [00:52<2:36:09,  2.85s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 56.11 | Image-: 56.11:   1%|          | 18/3303 [00:52<2:46:19,  3.04s/it]
Text+: 5.26 | Text-: 5.26 | Image+: 53.16 | Image-: 53.16:   1%|          | 18/3303 [00:56<2:46:19,  3.04s/it]
Text+: 5.26 | Text-: 5.26 | Image+: 53.16 | Image-: 53.16:   1%|          | 19/3303 [00:56<3:01:06,  3.31s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 50.5 | Image-: 50.5:   1%|          | 19/3303 [00:59<3:01:06,  3.31s/it]    
Text+: 5.0 | Text-: 5.0 | Image+: 50.5 | Image-: 50.5:   1%|          | 20/3303 [00:59<2:53:58,  3.18s/it]
Text+: 9.05 | Text-: 9.05 | Image+: 48.1 | Image-: 48.1:   1%|          | 20/3303 [01:01<2:53:58,  3.18s/it]
Text+: 9.05 | Text-: 9.05 | Image+: 48.1 | Image-: 48.1:   1%|          | 21/3303 [01:02<2:44:22,  3.01s/it]
Text+: 8.64 | Text-: 8.64 | Image+: 45.91 | Image-: 45.91:   1%|          | 21/3303 [01:04<2:44:22,  3.01s/it]
Text+: 8.64 | Text-: 8.64 | Image+: 45.91 | Image-: 45.91:   1%|          | 22/3303 [01:04<2:38:11,  2.89s/it]
Text+: 8.26 | Text-: 8.26 | Image+: 48.26 | Image-: 48.26:   1%|          | 22/3303 [01:08<2:38:11,  2.89s/it]
Text+: 8.26 | Text-: 8.26 | Image+: 48.26 | Image-: 48.26:   1%|          | 23/3303 [01:08<2:50:48,  3.12s/it]
Text+: 7.92 | Text-: 7.92 | Image+: 50.42 | Image-: 50.42:   1%|          | 23/3303 [01:11<2:50:48,  3.12s/it]
Text+: 7.92 | Text-: 7.92 | Image+: 50.42 | Image-: 50.42:   1%|          | 24/3303 [01:11<2:50:01,  3.11s/it]
Text+: 7.6 | Text-: 7.6 | Image+: 48.4 | Image-: 48.4:   1%|          | 24/3303 [01:14<2:50:01,  3.11s/it]    
Text+: 7.6 | Text-: 7.6 | Image+: 48.4 | Image-: 48.4:   1%|          | 25/3303 [01:14<2:43:54,  3.00s/it]
Text+: 7.31 | Text-: 7.31 | Image+: 46.54 | Image-: 46.54:   1%|          | 25/3303 [01:17<2:43:54,  3.00s/it]
Text+: 7.31 | Text-: 7.31 | Image+: 46.54 | Image-: 46.54:   1%|          | 26/3303 [01:17<2:43:07,  2.99s/it]
Text+: 7.04 | Text-: 7.04 | Image+: 44.81 | Image-: 44.81:   1%|          | 26/3303 [01:19<2:43:07,  2.99s/it]
Text+: 7.04 | Text-: 7.04 | Image+: 44.81 | Image-: 44.81:   1%|          | 27/3303 [01:19<2:36:30,  2.87s/it]
Text+: 6.79 | Text-: 6.79 | Image+: 43.21 | Image-: 43.21:   1%|          | 27/3303 [01:22<2:36:30,  2.87s/it]
Text+: 6.79 | Text-: 6.79 | Image+: 43.21 | Image-: 43.21:   1%|          | 28/3303 [01:22<2:34:44,  2.83s/it]
Text+: 6.55 | Text-: 6.55 | Image+: 42.76 | Image-: 42.76:   1%|          | 28/3303 [01:25<2:34:44,  2.83s/it]
Text+: 6.55 | Text-: 6.55 | Image+: 42.76 | Image-: 42.76:   1%|          | 29/3303 [01:25<2:35:42,  2.85s/it]
Text+: 6.33 | Text-: 6.33 | Image+: 41.33 | Image-: 41.33:   1%|          | 29/3303 [01:28<2:35:42,  2.85s/it]
