WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 0/3303 [00:04<?, ?it/s]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 1/3303 [00:04<4:02:55,  4.41s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 1/3303 [00:07<4:02:55,  4.41s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 2/3303 [00:07<3:17:53,  3.60s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 33.33 | Image-: 33.33:   0%|          | 2/3303 [00:09<3:17:53,  3.60s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 33.33 | Image-: 33.33:   0%|          | 3/3303 [00:10<2:52:18,  3.13s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 3/3303 [00:12<2:52:18,  3.13s/it]  
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 4/3303 [00:12<2:40:43,  2.92s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 60.0 | Image-: 60.0:   0%|          | 4/3303 [00:15<2:40:43,  2.92s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 60.0 | Image-: 60.0:   0%|          | 5/3303 [00:15<2:41:18,  2.93s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 5/3303 [00:18<2:41:18,  2.93s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 6/3303 [00:18<2:35:32,  2.83s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 57.14 | Image-: 57.14:   0%|          | 6/3303 [00:20<2:35:32,  2.83s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 57.14 | Image-: 57.14:   0%|          | 7/3303 [00:21<2:37:19,  2.86s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 62.5 | Image-: 62.5:   0%|          | 7/3303 [00:24<2:37:19,  2.86s/it]  
Text+: 0.0 | Text-: 0.0 | Image+: 62.5 | Image-: 62.5:   0%|          | 8/3303 [00:24<2:42:14,  2.95s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 62.22 | Image-: 62.22:   0%|          | 8/3303 [00:27<2:42:14,  2.95s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 62.22 | Image-: 62.22:   0%|          | 9/3303 [00:27<2:43:01,  2.97s/it]
Text+: 10.0 | Text-: 10.0 | Image+: 56.0 | Image-: 56.0:   0%|          | 9/3303 [00:29<2:43:01,  2.97s/it]
Text+: 10.0 | Text-: 10.0 | Image+: 56.0 | Image-: 56.0:   0%|          | 10/3303 [00:30<2:39:13,  2.90s/it]
Text+: 9.09 | Text-: 9.09 | Image+: 50.91 | Image-: 50.91:   0%|          | 10/3303 [00:33<2:39:13,  2.90s/it]
Text+: 9.09 | Text-: 9.09 | Image+: 50.91 | Image-: 50.91:   0%|          | 11/3303 [00:33<2:53:46,  3.17s/it]
Text+: 8.33 | Text-: 8.33 | Image+: 54.17 | Image-: 54.17:   0%|          | 11/3303 [00:36<2:53:46,  3.17s/it]
Text+: 8.33 | Text-: 8.33 | Image+: 54.17 | Image-: 54.17:   0%|          | 12/3303 [00:36<2:51:27,  3.13s/it]
Text+: 7.69 | Text-: 7.69 | Image+: 50.0 | Image-: 50.0:   0%|          | 12/3303 [00:39<2:51:27,  3.13s/it]  
Text+: 7.69 | Text-: 7.69 | Image+: 50.0 | Image-: 50.0:   0%|          | 13/3303 [00:39<2:45:16,  3.01s/it]
Text+: 7.14 | Text-: 7.14 | Image+: 53.57 | Image-: 53.57:   0%|          | 13/3303 [00:42<2:45:16,  3.01s/it]
Text+: 7.14 | Text-: 7.14 | Image+: 53.57 | Image-: 53.57:   0%|          | 14/3303 [00:42<2:49:11,  3.09s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 54.0 | Image-: 54.0:   0%|          | 14/3303 [00:45<2:49:11,  3.09s/it]  
Text+: 6.67 | Text-: 6.67 | Image+: 54.0 | Image-: 54.0:   0%|          | 15/3303 [00:46<2:50:14,  3.11s/it]
Text+: 6.25 | Text-: 6.25 | Image+: 56.88 | Image-: 56.88:   0%|          | 15/3303 [00:48<2:50:14,  3.11s/it]
Text+: 6.25 | Text-: 6.25 | Image+: 56.88 | Image-: 56.88:   0%|          | 16/3303 [00:48<2:44:43,  3.01s/it]
Text+: 5.88 | Text-: 5.88 | Image+: 59.41 | Image-: 59.41:   0%|          | 16/3303 [00:51<2:44:43,  3.01s/it]
Text+: 5.88 | Text-: 5.88 | Image+: 59.41 | Image-: 59.41:   1%|          | 17/3303 [00:51<2:39:04,  2.90s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 56.11 | Image-: 56.11:   1%|          | 17/3303 [00:54<2:39:04,  2.90s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 56.11 | Image-: 56.11:   1%|          | 18/3303 [00:54<2:48:33,  3.08s/it]
