WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.weight', 'roberta.pooler.dense.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 0/3303 [00:04<?, ?it/s]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 1/3303 [00:04<4:01:56,  4.40s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 1/3303 [00:08<4:01:56,  4.40s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 2/3303 [00:08<3:50:56,  4.20s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 33.33 | Image-: 33.33:   0%|          | 2/3303 [00:11<3:50:56,  4.20s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 33.33 | Image-: 33.33:   0%|          | 3/3303 [00:11<3:18:04,  3.60s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 3/3303 [00:14<3:18:04,  3.60s/it]  
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 4/3303 [00:14<3:06:44,  3.40s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 60.0 | Image-: 60.0:   0%|          | 4/3303 [00:17<3:06:44,  3.40s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 60.0 | Image-: 60.0:   0%|          | 5/3303 [00:18<3:11:08,  3.48s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 5/3303 [00:21<3:11:08,  3.48s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 6/3303 [00:22<3:19:57,  3.64s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 57.14 | Image-: 57.14:   0%|          | 6/3303 [00:25<3:19:57,  3.64s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 57.14 | Image-: 57.14:   0%|          | 7/3303 [00:25<3:19:01,  3.62s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 62.5 | Image-: 62.5:   0%|          | 7/3303 [00:29<3:19:01,  3.62s/it]  
Text+: 0.0 | Text-: 0.0 | Image+: 62.5 | Image-: 62.5:   0%|          | 8/3303 [00:29<3:31:12,  3.85s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 62.22 | Image-: 62.22:   0%|          | 8/3303 [00:33<3:31:12,  3.85s/it]
Text+: 0.0 | Text-: 0.0 | Image+: 62.22 | Image-: 62.22:   0%|          | 9/3303 [00:33<3:31:37,  3.85s/it]
Text+: 10.0 | Text-: 10.0 | Image+: 56.0 | Image-: 56.0:   0%|          | 9/3303 [00:37<3:31:37,  3.85s/it]
Text+: 10.0 | Text-: 10.0 | Image+: 56.0 | Image-: 56.0:   0%|          | 10/3303 [00:37<3:35:00,  3.92s/it]
Text+: 9.09 | Text-: 9.09 | Image+: 50.91 | Image-: 50.91:   0%|          | 10/3303 [00:41<3:35:00,  3.92s/it]
Text+: 9.09 | Text-: 9.09 | Image+: 50.91 | Image-: 50.91:   0%|          | 11/3303 [00:41<3:36:17,  3.94s/it]
Text+: 8.33 | Text-: 8.33 | Image+: 54.17 | Image-: 54.17:   0%|          | 11/3303 [00:44<3:36:17,  3.94s/it]
Text+: 8.33 | Text-: 8.33 | Image+: 54.17 | Image-: 54.17:   0%|          | 12/3303 [00:44<3:17:57,  3.61s/it]
Text+: 7.69 | Text-: 7.69 | Image+: 50.0 | Image-: 50.0:   0%|          | 12/3303 [00:47<3:17:57,  3.61s/it]  
Text+: 7.69 | Text-: 7.69 | Image+: 50.0 | Image-: 50.0:   0%|          | 13/3303 [00:47<3:05:02,  3.37s/it]
Text+: 7.14 | Text-: 7.14 | Image+: 53.57 | Image-: 53.57:   0%|          | 13/3303 [00:50<3:05:02,  3.37s/it]
Text+: 7.14 | Text-: 7.14 | Image+: 53.57 | Image-: 53.57:   0%|          | 14/3303 [00:51<3:12:03,  3.50s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 54.0 | Image-: 54.0:   0%|          | 14/3303 [00:54<3:12:03,  3.50s/it]  
Text+: 6.67 | Text-: 6.67 | Image+: 54.0 | Image-: 54.0:   0%|          | 15/3303 [00:55<3:18:57,  3.63s/it]
Text+: 6.25 | Text-: 6.25 | Image+: 56.88 | Image-: 56.88:   0%|          | 15/3303 [00:58<3:18:57,  3.63s/it]
Text+: 6.25 | Text-: 6.25 | Image+: 56.88 | Image-: 56.88:   0%|          | 16/3303 [00:59<3:24:51,  3.74s/it]
Text+: 5.88 | Text-: 5.88 | Image+: 59.41 | Image-: 59.41:   0%|          | 16/3303 [01:02<3:24:51,  3.74s/it]
Text+: 5.88 | Text-: 5.88 | Image+: 59.41 | Image-: 59.41:   1%|          | 17/3303 [01:02<3:11:54,  3.50s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 56.11 | Image-: 56.11:   1%|          | 17/3303 [01:04<3:11:54,  3.50s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 56.11 | Image-: 56.11:   1%|          | 18/3303 [01:04<2:57:58,  3.25s/it]
Text+: 5.26 | Text-: 5.26 | Image+: 53.16 | Image-: 53.16:   1%|          | 18/3303 [01:07<2:57:58,  3.25s/it]
Text+: 5.26 | Text-: 5.26 | Image+: 53.16 | Image-: 53.16:   1%|          | 19/3303 [01:07<2:52:13,  3.15s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 50.5 | Image-: 50.5:   1%|          | 19/3303 [01:11<2:52:13,  3.15s/it]    
Text+: 5.0 | Text-: 5.0 | Image+: 50.5 | Image-: 50.5:   1%|          | 20/3303 [01:11<3:01:12,  3.31s/it]
Text+: 9.05 | Text-: 9.05 | Image+: 48.1 | Image-: 48.1:   1%|          | 20/3303 [01:15<3:01:12,  3.31s/it]
Text+: 9.05 | Text-: 9.05 | Image+: 48.1 | Image-: 48.1:   1%|          | 21/3303 [01:15<3:12:31,  3.52s/it]
Text+: 8.64 | Text-: 8.64 | Image+: 45.91 | Image-: 45.91:   1%|          | 21/3303 [01:19<3:12:31,  3.52s/it]
Text+: 8.64 | Text-: 8.64 | Image+: 45.91 | Image-: 45.91:   1%|          | 22/3303 [01:19<3:19:36,  3.65s/it]
Text+: 8.26 | Text-: 8.26 | Image+: 48.26 | Image-: 48.26:   1%|          | 22/3303 [01:22<3:19:36,  3.65s/it]
Text+: 8.26 | Text-: 8.26 | Image+: 48.26 | Image-: 48.26:   1%|          | 23/3303 [01:22<3:09:20,  3.46s/it]
Text+: 7.92 | Text-: 7.92 | Image+: 50.42 | Image-: 50.42:   1%|          | 23/3303 [01:25<3:09:20,  3.46s/it]
Text+: 7.92 | Text-: 7.92 | Image+: 50.42 | Image-: 50.42:   1%|          | 24/3303 [01:25<2:59:09,  3.28s/it]
Text+: 7.6 | Text-: 7.6 | Image+: 48.4 | Image-: 48.4:   1%|          | 24/3303 [01:28<2:59:09,  3.28s/it]    
Text+: 7.6 | Text-: 7.6 | Image+: 48.4 | Image-: 48.4:   1%|          | 25/3303 [01:28<3:04:49,  3.38s/it]
Text+: 7.31 | Text-: 7.31 | Image+: 46.54 | Image-: 46.54:   1%|          | 25/3303 [01:32<3:04:49,  3.38s/it]
Text+: 7.31 | Text-: 7.31 | Image+: 46.54 | Image-: 46.54:   1%|          | 26/3303 [01:32<3:13:12,  3.54s/it]
Text+: 7.04 | Text-: 7.04 | Image+: 44.81 | Image-: 44.81:   1%|          | 26/3303 [01:36<3:13:12,  3.54s/it]
Text+: 7.04 | Text-: 7.04 | Image+: 44.81 | Image-: 44.81:   1%|          | 27/3303 [01:36<3:19:46,  3.66s/it]
Text+: 6.79 | Text-: 6.79 | Image+: 43.21 | Image-: 43.21:   1%|          | 27/3303 [01:40<3:19:46,  3.66s/it]
Text+: 6.79 | Text-: 6.79 | Image+: 43.21 | Image-: 43.21:   1%|          | 28/3303 [01:40<3:19:56,  3.66s/it]
Text+: 6.55 | Text-: 6.55 | Image+: 42.76 | Image-: 42.76:   1%|          | 28/3303 [01:44<3:19:56,  3.66s/it]
Text+: 6.55 | Text-: 6.55 | Image+: 42.76 | Image-: 42.76:   1%|          | 29/3303 [01:44<3:25:37,  3.77s/it]
Text+: 6.33 | Text-: 6.33 | Image+: 41.33 | Image-: 41.33:   1%|          | 29/3303 [01:47<3:25:37,  3.77s/it]
Text+: 6.33 | Text-: 6.33 | Image+: 41.33 | Image-: 41.33:   1%|          | 30/3303 [01:47<3:13:58,  3.56s/it]
Text+: 6.13 | Text-: 6.13 | Image+: 40.0 | Image-: 40.0:   1%|          | 30/3303 [01:50<3:13:58,  3.56s/it]  
Text+: 6.13 | Text-: 6.13 | Image+: 40.0 | Image-: 40.0:   1%|          | 31/3303 [01:50<3:02:18,  3.34s/it]
