WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]
Text+: 100.0 | Text-: 100.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 0/3303 [00:04<?, ?it/s]
Text+: 100.0 | Text-: 100.0 | Image+: 0.0 | Image-: 0.0:   0%|          | 1/3303 [00:05<4:50:54,  5.29s/it]
Text+: 50.0 | Text-: 50.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 1/3303 [00:08<4:50:54,  5.29s/it]
Text+: 50.0 | Text-: 50.0 | Image+: 50.0 | Image-: 50.0:   0%|          | 2/3303 [00:09<4:15:21,  4.64s/it]
Text+: 33.33 | Text-: 33.33 | Image+: 33.33 | Image-: 33.33:   0%|          | 2/3303 [00:13<4:15:21,  4.64s/it]
Text+: 33.33 | Text-: 33.33 | Image+: 33.33 | Image-: 33.33:   0%|          | 3/3303 [00:13<4:01:33,  4.39s/it]
Text+: 25.0 | Text-: 25.0 | Image+: 25.0 | Image-: 25.0:   0%|          | 3/3303 [00:17<4:01:33,  4.39s/it]    
Text+: 25.0 | Text-: 25.0 | Image+: 25.0 | Image-: 25.0:   0%|          | 4/3303 [00:17<3:54:14,  4.26s/it]
Text+: 20.0 | Text-: 20.0 | Image+: 40.0 | Image-: 40.0:   0%|          | 4/3303 [00:21<3:54:14,  4.26s/it]
Text+: 20.0 | Text-: 20.0 | Image+: 40.0 | Image-: 40.0:   0%|          | 5/3303 [00:21<3:53:36,  4.25s/it]
Text+: 16.67 | Text-: 16.67 | Image+: 33.33 | Image-: 33.33:   0%|          | 5/3303 [00:25<3:53:36,  4.25s/it]
Text+: 16.67 | Text-: 16.67 | Image+: 33.33 | Image-: 33.33:   0%|          | 6/3303 [00:26<3:51:31,  4.21s/it]
Text+: 14.29 | Text-: 14.29 | Image+: 28.57 | Image-: 28.57:   0%|          | 6/3303 [00:29<3:51:31,  4.21s/it]
Text+: 14.29 | Text-: 14.29 | Image+: 28.57 | Image-: 28.57:   0%|          | 7/3303 [00:30<3:48:35,  4.16s/it]
Text+: 12.5 | Text-: 12.5 | Image+: 37.5 | Image-: 37.5:   0%|          | 7/3303 [00:33<3:48:35,  4.16s/it]    
Text+: 12.5 | Text-: 12.5 | Image+: 37.5 | Image-: 37.5:   0%|          | 8/3303 [00:34<3:45:37,  4.11s/it]
Text+: 11.11 | Text-: 11.11 | Image+: 33.33 | Image-: 33.33:   0%|          | 8/3303 [00:37<3:45:37,  4.11s/it]
Text+: 11.11 | Text-: 11.11 | Image+: 33.33 | Image-: 33.33:   0%|          | 9/3303 [00:38<3:49:57,  4.19s/it]
Text+: 10.0 | Text-: 10.0 | Image+: 40.0 | Image-: 40.0:   0%|          | 9/3303 [00:42<3:49:57,  4.19s/it]    
Text+: 10.0 | Text-: 10.0 | Image+: 40.0 | Image-: 40.0:   0%|          | 10/3303 [00:42<3:49:34,  4.18s/it]
Text+: 9.09 | Text-: 9.09 | Image+: 36.36 | Image-: 36.36:   0%|          | 10/3303 [00:46<3:49:34,  4.18s/it]
Text+: 9.09 | Text-: 9.09 | Image+: 36.36 | Image-: 36.36:   0%|          | 11/3303 [00:46<3:52:20,  4.23s/it]
Text+: 8.33 | Text-: 8.33 | Image+: 33.33 | Image-: 33.33:   0%|          | 11/3303 [00:50<3:52:20,  4.23s/it]
Text+: 8.33 | Text-: 8.33 | Image+: 33.33 | Image-: 33.33:   0%|          | 12/3303 [00:51<3:55:55,  4.30s/it]
Text+: 7.69 | Text-: 7.69 | Image+: 38.46 | Image-: 38.46:   0%|          | 12/3303 [00:55<3:55:55,  4.30s/it]
Text+: 7.69 | Text-: 7.69 | Image+: 38.46 | Image-: 38.46:   0%|          | 13/3303 [00:55<3:52:08,  4.23s/it]
Text+: 7.14 | Text-: 7.14 | Image+: 35.71 | Image-: 35.71:   0%|          | 13/3303 [00:59<3:52:08,  4.23s/it]
Text+: 7.14 | Text-: 7.14 | Image+: 35.71 | Image-: 35.71:   0%|          | 14/3303 [00:59<3:49:07,  4.18s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 33.33 | Image-: 33.33:   0%|          | 14/3303 [01:03<3:49:07,  4.18s/it]
Text+: 6.67 | Text-: 6.67 | Image+: 33.33 | Image-: 33.33:   0%|          | 15/3303 [01:03<3:46:13,  4.13s/it]
Text+: 6.25 | Text-: 6.25 | Image+: 31.25 | Image-: 31.25:   0%|          | 15/3303 [01:07<3:46:13,  4.13s/it]
Text+: 6.25 | Text-: 6.25 | Image+: 31.25 | Image-: 31.25:   0%|          | 16/3303 [01:07<3:43:00,  4.07s/it]
Text+: 5.88 | Text-: 5.88 | Image+: 35.29 | Image-: 35.29:   0%|          | 16/3303 [01:11<3:43:00,  4.07s/it]
Text+: 5.88 | Text-: 5.88 | Image+: 35.29 | Image-: 35.29:   1%|          | 17/3303 [01:11<3:41:32,  4.05s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 33.33 | Image-: 33.33:   1%|          | 17/3303 [01:15<3:41:32,  4.05s/it]
Text+: 5.56 | Text-: 5.56 | Image+: 33.33 | Image-: 33.33:   1%|          | 18/3303 [01:15<3:41:07,  4.04s/it]
Text+: 5.26 | Text-: 5.26 | Image+: 36.84 | Image-: 36.84:   1%|          | 18/3303 [01:19<3:41:07,  4.04s/it]
Text+: 5.26 | Text-: 5.26 | Image+: 36.84 | Image-: 36.84:   1%|          | 19/3303 [01:19<3:44:43,  4.11s/it]
